waypoint class initialized
waypoint class initialized
next 6771.04 5409.44
pose 6771.04 5409.35
next 6771.05 5408.73
pose 6771.04 5409.35
next 6771.05 5408.73
pose 6771.06 5409.04
next 6771.07 5408.46
pose 6771.06 5409.04
next 6771.07 5408.46
pose 6771.03 5408.74
next 6771.04 5408.2
pose 6771.03 5408.58
next 6771.03 5408.07
pose 6771.03 5408.43
next 6771.05 5407.43
pose 6771.03 5408.43
next 6771.05 5407.43
pose 6771.09 5408.14
next 6771.09 5407.21
pose 6771.11 5407.99
next 6771.1 5407.1
pose 6771.11 5407.99
next 6771.1 5407.1
pose 6771.12 5407.69
next 6771.11 5406.87
pose 6771.12 5407.69
next 6771.11 5406.87
pose 6771.11 5407.38
next 6771.11 5406.64
pose 6771.12 5407.23
next 6771.11 5406.53
pose 6771.12 5407.23
next 6771.11 5406.53
pose 6771.12 5406.92
next 6771.11 5406.3
pose 6771.12 5406.92
next 6771.11 5406.3
pose 6771.12 5406.61
next 6771.11 5406.06
pose 6771.12 5406.45
next 6771.11 5405.95
pose 6771.12 5406.45
next 6771.11 5405.95
pose 6771.12 5406.14
next 6771.1 5405.29
pose 6771.12 5406.14
next 6771.1 5405.29
pose 6771.11 5405.82
next 6771.1 5405.13
pose 6771.11 5405.59
next 6771.1 5405.01
pose 6771.11 5405.59
next 6771.1 5405.01
pose 6771.11 5405.35
next 6771.09 5404.44
pose 6771.11 5405.35
next 6771.09 5404.44
pose 6771.11 5404.95
next 6771.09 5404.44
pose 6771.1 5404.87
next 6771.09 5404.44
pose 6771.1 5404.87
next 6771.09 5404.44
pose 6771.1 5404.71
next 6771.09 5404.44
pose 6771.09 5404.31
next 6771.1 5403.35
pose 6771.09 5404.23
next 6771.1 5403.29
pose 6771.07 5404.08
next 6771.08 5403.17
pose 6771.03 5403.93
next 6771.05 5403.06
pose 6770.97 5403.79
next 6771.01 5402.95
pose 6770.97 5403.79
next 6771.01 5402.95
pose 6770.94 5403.49
next 6770.99 5402.72
pose 6770.94 5403.49
next 6770.99 5402.72
pose 6770.96 5403.26
next 6771 5402.55
pose 6770.98 5403.03
next 6771.01 5402.38
pose 6770.99 5402.87
next 6771.02 5402.26
pose 6770.99 5402.87
next 6771.02 5402.26
pose 6770.99 5402.79
next 6771.02 5402.2
pose 6770.99 5402.64
next 6771.02 5402.09
pose 6770.99 5402.4
next 6771.06 5401.42
pose 6771 5402.24
next 6771.06 5401.34
pose 6771.04 5401.94
next 6771.08 5401.19
pose 6771.09 5401.79
next 6771.1 5401.12
pose 6771.13 5401.65
next 6771.12 5401.04
pose 6771.14 5401.49
