Transform(Location(x=6772.469238, y=5241.442383, z=179.498581), Rotation(pitch=0.226384, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.486328, y=5239.442383, z=179.506470), Rotation(pitch=0.225462, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.503418, y=5237.442383, z=179.514328), Rotation(pitch=0.224540, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.520020, y=5235.442383, z=179.522156), Rotation(pitch=0.223618, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.532715, y=5233.963379, z=179.527908), Rotation(pitch=0.222935, yaw=-89.513794, roll=0.000000)) 2
Transform(Location(x=6772.876953, y=5231.399902, z=179.539581), Rotation(pitch=0.222935, yaw=-74.051064, roll=0.000000)) 2
Transform(Location(x=6773.925781, y=5229.066406, z=179.561920), Rotation(pitch=0.720928, yaw=-57.540344, roll=0.000000)) 2
Transform(Location(x=6775.595215, y=5227.125977, z=179.611908), Rotation(pitch=1.025066, yaw=-41.029293, roll=0.000000)) 2
Transform(Location(x=6777.746582, y=5225.741211, z=179.664093), Rotation(pitch=0.968316, yaw=-24.517063, roll=0.000000)) 2
Transform(Location(x=6780.203125, y=5225.024902, z=179.713455), Rotation(pitch=0.929326, yaw=-8.004832, roll=0.000000)) 2
Transform(Location(x=6781.667480, y=5224.938965, z=179.740753), Rotation(pitch=0.929325, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6783.667480, y=5224.946289, z=179.773178), Rotation(pitch=0.928196, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6785.667480, y=5224.953613, z=179.805557), Rotation(pitch=0.927066, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6787.667480, y=5224.960938, z=179.837891), Rotation(pitch=0.925937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6789.667480, y=5224.968262, z=179.870193), Rotation(pitch=0.924807, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6791.667480, y=5224.975586, z=179.902451), Rotation(pitch=0.923678, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6793.667480, y=5224.982910, z=179.934677), Rotation(pitch=0.922549, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6795.667480, y=5224.990234, z=179.966858), Rotation(pitch=0.921419, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6797.667480, y=5224.997559, z=179.999008), Rotation(pitch=0.920290, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6799.667480, y=5225.004883, z=180.031113), Rotation(pitch=0.919160, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6801.667480, y=5225.012207, z=180.063171), Rotation(pitch=0.918031, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6803.667480, y=5225.019531, z=180.095215), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6805.667480, y=5225.026855, z=180.127243), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6807.667480, y=5225.034180, z=180.159271), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6809.667480, y=5225.041504, z=180.191299), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6811.667480, y=5225.048828, z=180.223328), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6813.667480, y=5225.056152, z=180.255371), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6815.667480, y=5225.063477, z=180.287399), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6817.667480, y=5225.070801, z=180.319427), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6820.666992, y=5225.082031, z=180.367477), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6822.666992, y=5225.089355, z=180.399506), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6824.666992, y=5225.096680, z=180.431534), Rotation(pitch=0.917630, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6826.666992, y=5225.104004, z=180.463562), Rotation(pitch=0.917200, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6828.666992, y=5225.111328, z=180.495544), Rotation(pitch=0.915002, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6830.666992, y=5225.118652, z=180.527451), Rotation(pitch=0.912804, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6832.666992, y=5225.125977, z=180.559265), Rotation(pitch=0.910607, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6834.666992, y=5225.133301, z=180.591019), Rotation(pitch=0.908409, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6836.666992, y=5225.140625, z=180.622696), Rotation(pitch=0.906211, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6838.666992, y=5225.147949, z=180.654312), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6840.666992, y=5225.155273, z=180.685944), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6842.666992, y=5225.162598, z=180.717560), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6844.666992, y=5225.169922, z=180.749191), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6846.666992, y=5225.177246, z=180.780807), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6848.666992, y=5225.184570, z=180.812424), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6850.666992, y=5225.191895, z=180.844055), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6852.666992, y=5225.199219, z=180.875671), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6854.666992, y=5225.206543, z=180.907303), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6856.666992, y=5225.213867, z=180.938919), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
Transform(Location(x=6858.666992, y=5225.221191, z=180.970551), Rotation(pitch=0.905937, yaw=0.209914, roll=0.000000)) 4
